cid,code
130,"QTDESC"
131,"X2D"
132,"LGR"
133,"CNTA"
134,"LRT"
135,"CORR"
136,"MLTV"
137,"MOD"
138,"MED"
139,"TTEST"
140,"OR"
141,"THMA"
142,"GT-QL"
143,"GT-QT"
144,"XCASE"
145,"LNR"
146,"HLNR"
147,"STRGR"
148,"X2GF"
149,"SEM"
150,"MLM"
151,"MEM"
152,"CLUST"
153,"PHCOMP"
154,"OLSRG"
155,"ANOVA"
156,"MANOVA"
157,"ANCOVA"
158,"MANCOVA"
159,"RMANOVA"
160,"CCA"
161,"QLDESC"
162,"RRR"
163,"PATH"
164,"CFA"
165,"EFA"
166,"BOOT"
167,"MLE"
168,"SEM-FULL"
169,"INDEFF"
170,"MGM"
171,"LVM"
172,"IRT"
173,"FAINV"
174,"WLSE"
175,"VARE"
176,"MLR"
177,"THMA-GRP"
